Date,Time,Currency,Event
Wed Oct 1,12:15pm,USD,ADP Non-Farm Employment Change
Wed Oct 1,2:00pm,USD,ISM Manufacturing PMI
Thu Oct 2,6:30am,CHF,CPI m/m
Fri Oct 3,1:05am,JPY,BOJ Gov Ueda Speaks
Fri Oct 3,1:20pm,GBP,BOE Gov Bailey Speaks
Fri Oct 3,2:00pm,USD,ISM Services PMI
Mon Oct 6,3:00pm,GBP,BOE Gov Bailey Speaks
Mon Oct 6,5:00pm,EUR,ECB President Lagarde Speaks
Wed Oct 8,6:00pm,USD,FOMC Meeting Minutes
Thu Oct 9,10:00pm,AUD,RBA Gov Bullock Speaks
Fri Oct 10,12:30pm,CAD,Employment Change
Fri Oct 10,2:00pm,USD,Prelim UoM Consumer Sentiment
Tue Oct 14,4:20pm,USD,Fed Chair Powell Speaks
Tue Oct 14,5:00pm,GBP,BOE Gov Bailey Speaks
Wed Oct 15,7:45pm,AUD,RBA Gov Bullock Speaks
Thu Oct 16,12:30am,AUD,Employment Change
Thu Oct 16,6:00am,GBP,GDP m/m
Thu Oct 16,5:30pm,CAD,BOC Gov Macklem Speaks
Sat Oct 18,1:00pm,GBP,BOE Gov Bailey Speaks
Tue Oct 21,12:30pm,CAD,CPI m/m
Wed Oct 22,6:00am,GBP,CPI y/y
Fri Oct 24,7:30am,EUR,German Flash Manufacturing PMI
Fri Oct 24,8:30am,GBP,Flash Manufacturing PMI
Fri Oct 24,12:30pm,USD,Core CPI m/m
Fri Oct 24,1:45pm,USD,Flash Manufacturing PMI
Mon Oct 27,8:15am,AUD,RBA Gov Bullock Speaks
Wed Oct 29,12:30am,AUD,CPI m/m
Wed Oct 29,1:45pm,CAD,BOC Monetary Policy Report
Wed Oct 29,2:30pm,CAD,BOC Press Conference
Wed Oct 29,6:00pm,USD,Federal Funds Rate
Wed Oct 29,6:30pm,USD,FOMC Press Conference
Thu Oct 30,3:15am,JPY,BOJ Outlook Report
Thu Oct 30,6:30am,JPY,BOJ Press Conference
Thu Oct 30,1:15pm,EUR,Main Refinancing Rate
Thu Oct 30,1:45pm,EUR,ECB Press Conference
Fri Oct 31,12:30pm,CAD,GDP m/m
Mon Nov 3,7:30am,CHF,CPI m/m
Mon Nov 3,3:00pm,USD,ISM Manufacturing PMI
Mon Nov 3,6:30pm,CAD,BOC Gov Macklem Speaks
Tue Nov 4,3:30am,AUD,Cash Rate
Tue Nov 4,4:30am,AUD,RBA Press Conference
Wed Nov 5,1:15pm,USD,ADP Non-Farm Employment Change
Wed Nov 5,3:00pm,USD,ISM Services PMI
Wed Nov 5,9:30pm,CAD,BOC Gov Macklem Speaks
Thu Nov 6,12:00pm,GBP,BOE Monetary Policy Report
Thu Nov 6,12:30pm,GBP,BOE Gov Bailey Speaks
Thu Nov 6,3:30pm,CAD,BOC Gov Macklem Speaks
Fri Nov 7,1:30pm,CAD,Employment Change
Tue Nov 11,7:00am,GBP,Claimant Count Change
Thu Nov 13,12:30am,AUD,Employment Change
Thu Nov 13,7:00am,GBP,GDP m/m
Mon Nov 17,1:30pm,CAD,CPI m/m
Tue Nov 18,8:10am,USD,Unemployment Claims
Wed Nov 19,12:30am,AUD,Wage Price Index q/q
Wed Nov 19,7:00am,GBP,CPI y/y
Wed Nov 19,7:00pm,USD,FOMC Meeting Minutes
Thu Nov 20,1:30pm,USD,Average Hourly Earnings m/m
Fri Nov 21,7:00am,GBP,Retail Sales m/m
Fri Nov 21,8:30am,EUR,German Flash Manufacturing PMI
Fri Nov 21,9:30am,GBP,Flash Manufacturing PMI
Fri Nov 21,2:45pm,USD,Flash Manufacturing PMI
Tue Nov 25,1:30pm,USD,Core PPI m/m
Wed Nov 26,12:30am,AUD,CPI m/m
Wed Nov 26,12:30pm,GBP,Autumn Forecast Statement
Wed Nov 26,1:30pm,USD,Unemployment Claims
Fri Nov 28,1:30pm,CAD,GDP m/m
Mon Dec 1,1:05am,JPY,BOJ Gov Ueda Speaks
Mon Dec 1,3:00pm,USD,ISM Manufacturing PMI
Tue Dec 2,10:00am,GBP,BOE Gov Bailey Speaks
Wed Dec 3,12:30am,AUD,GDP q/q
Wed Dec 3,7:30am,CHF,CPI m/m
Wed Dec 3,1:15pm,USD,ADP Non-Farm Employment Change
Wed Dec 3,3:00pm,USD,ISM Services PMI
Thu Dec 4,1:30pm,USD,Unemployment Claims
Fri Dec 5,1:30pm,CAD,Employment Change
Fri Dec 5,3:00pm,USD,Core PCE Price Index m/m
Tue Dec 9,3:30am,AUD,Cash Rate
Tue Dec 9,4:30am,AUD,RBA Press Conference
Tue Dec 9,9:00am,JPY,BOJ Gov Ueda Speaks
Tue Dec 9,1:15pm,USD,ADP Weekly Employment Change
Tue Dec 9,3:00pm,USD,JOLTS Job Openings
Wed Dec 10,1:30pm,USD,Employment Cost Index q/q
Wed Dec 10,2:45pm,CAD,BOC Rate Statement
Wed Dec 10,3:30pm,CAD,BOC Press Conference
Wed Dec 10,7:00pm,USD,Federal Funds Rate
Wed Dec 10,7:30pm,USD,FOMC Press Conference
Thu Dec 11,12:30am,AUD,Employment Change
Thu Dec 11,8:30am,CHF,SNB Monetary Policy Assessment
Thu Dec 11,9:00am,CHF,SNB Press Conference
Thu Dec 11,1:30pm,USD,Unemployment Claims
Fri Dec 12,7:00am,GBP,GDP m/m
Mon Dec 15,1:30pm,CAD,CPI m/m
Tue Dec 16,7:00am,GBP,Claimant Count Change
Tue Dec 16,8:30am,EUR,German Flash Manufacturing PMI
Tue Dec 16,9:30am,GBP,Flash Manufacturing PMI
Tue Dec 16,1:15pm,USD,ADP Weekly Employment Change
Tue Dec 16,1:30pm,USD,Average Hourly Earnings m/m
Tue Dec 16,2:45pm,USD,Flash Manufacturing PMI
Wed Dec 17,7:00am,GBP,CPI y/y
Thu Dec 18,12:00pm,GBP,Monetary Policy Summary
Thu Dec 18,1:15pm,EUR,Main Refinancing Rate
Thu Dec 18,1:30pm,USD,CPI y/y
Thu Dec 18,1:45pm,EUR,ECB Press Conference
Fri Dec 19,3:19am,JPY,BOJ Policy Rate
Fri Dec 19,6:30am,JPY,BOJ Press Conference
Fri Dec 19,7:00am,GBP,Retail Sales m/m
Tue Dec 23,1:30pm,CAD,GDP m/m
Wed Dec 24,1:30pm,USD,Unemployment Claims
Tue Dec 30,7:00pm,USD,FOMC Meeting Minutes
Wed Dec 31,1:30pm,USD,Unemployment Claims
Mon Jan 5,3:00pm,USD,ISM Manufacturing PMI
Wed Jan 7,12:30am,AUD,CPI m/m
Wed Jan 7,1:15pm,USD,ADP Non-Farm Employment Change
Wed Jan 7,3:00pm,USD,ISM Services PMI
Thu Jan 8,7:30am,CHF,CPI m/m
Thu Jan 8,1:30pm,USD,Unemployment Claims
Fri Jan 9,1:30pm,CAD,Employment Change
Fri Jan 9,3:00pm,USD,Prelim UoM Consumer Sentiment
Tue Jan 13,1:30pm,USD,Core CPI m/m
Wed Jan 14,1:30pm,USD,Core PPI m/m
Thu Jan 15,7:00am,GBP,GDP m/m
Thu Jan 15,1:30pm,USD,Unemployment Claims
Fri Jan 16,10:00am,GBP,BOE Gov Bailey Speaks
Mon Jan 19,1:30pm,CAD,CPI m/m
Tue Jan 20,7:00am,GBP,Claimant Count Change
Tue Jan 20,9:45am,GBP,BOE Gov Bailey Speaks
Wed Jan 21,7:00am,GBP,CPI y/y
Wed Jan 21,Day 3,All,WEF Annual Meetings
Wed Jan 21,1:30pm,USD,President Trump Speaks
Thu Jan 22,12:30am,AUD,Employment Change
Thu Jan 22,1:30pm,USD,Final GDP q/q
Thu Jan 22,3:00pm,USD,Core PCE Price Index m/m
Fri Jan 23,3:07am,JPY,BOJ Outlook Report
Fri Jan 23,6:30am,JPY,BOJ Press Conference
Fri Jan 23,7:00am,GBP,Retail Sales m/m
Fri Jan 23,8:30am,EUR,German Flash Manufacturing PMI
Fri Jan 23,9:30am,GBP,Flash Manufacturing PMI
Fri Jan 23,2:45pm,USD,Flash Manufacturing PMI
Wed Jan 28,12:30am,AUD,CPI m/m
Wed Jan 28,2:45pm,CAD,BOC Monetary Policy Report
Wed Jan 28,3:30pm,CAD,BOC Press Conference
Wed Jan 28,7:00pm,USD,Federal Funds Rate
Wed Jan 28,7:30pm,USD,FOMC Press Conference
Thu Jan 29,1:30pm,USD,Unemployment Claims
Fri Jan 30,1:30pm,CAD,GDP m/m
Mon Feb 2,3:00pm,USD,ISM Manufacturing PMI
Tue Feb 3,3:30am,AUD,Cash Rate
Tue Feb 3,4:30am,AUD,RBA Press Conference
Wed Feb 4,1:15pm,USD,ADP Non-Farm Employment Change
Wed Feb 4,3:00pm,USD,ISM Services PMI
Thu Feb 5,12:00pm,GBP,BOE Monetary Policy Report
Thu Feb 5,12:30pm,GBP,BOE Gov Bailey Speaks
Thu Feb 5,1:15pm,EUR,Main Refinancing Rate
Thu Feb 5,1:30pm,USD,Unemployment Claims
Thu Feb 5,1:45pm,EUR,ECB Press Conference
Thu Feb 5,3:00pm,USD,JOLTS Job Openings
Thu Feb 5,5:25pm,CAD,BOC Gov Macklem Speaks
Thu Feb 5,10:30pm,AUD,RBA Gov Bullock Speaks
Fri Feb 6,1:30pm,CAD,Employment Change
Fri Feb 6,3:00pm,USD,Prelim UoM Consumer Sentiment
Sun Feb 8,All Day,JPY,Lower House Elections
Tue Feb 10,1:30pm,USD,Core Retail Sales m/m
Wed Feb 11,1:30pm,USD,Average Hourly Earnings m/m
Thu Feb 12,7:00am,GBP,GDP m/m
Thu Feb 12,1:30pm,USD,Unemployment Claims
Fri Feb 13,7:30am,CHF,CPI m/m
Fri Feb 13,1:30pm,USD,Core CPI m/m
Tue Feb 17,7:00am,GBP,Claimant Count Change
Tue Feb 17,1:30pm,CAD,CPI m/m
Wed Feb 18,7:00am,GBP,CPI y/y
Wed Feb 18,7:00pm,USD,FOMC Meeting Minutes
Thu Feb 19,12:30am,AUD,Employment Change
Thu Feb 19,1:30pm,USD,Unemployment Claims
Fri Feb 20,7:00am,GBP,Retail Sales m/m
Fri Feb 20,8:30am,EUR,German Flash Manufacturing PMI
Fri Feb 20,9:30am,GBP,Flash Manufacturing PMI
Fri Feb 20,1:30pm,USD,Advance GDP q/q
Fri Feb 20,2:45pm,USD,Flash Manufacturing PMI
Fri Feb 20,5:45pm,USD,President Trump Speaks
Wed Feb 25,12:30am,AUD,CPI m/m
Wed Feb 25,2:00am,USD,President Trump Speaks
Thu Feb 26,1:30pm,USD,Unemployment Claims
Fri Feb 27,1:30pm,CAD,GDP m/m
Mon Mar 2,3:00pm,USD,ISM Manufacturing PMI
Mon Mar 2,9:10pm,AUD,RBA Gov Bullock Speaks
Tue Mar 3,4:00am,JPY,BOJ Gov Ueda Speaks
Tue Mar 3,12:30pm,GBP,Annual Budget Release
Wed Mar 4,12:30am,AUD,GDP q/q
Wed Mar 4,1:15pm,USD,ADP Non-Farm Employment Change
Wed Mar 4,3:00pm,USD,ISM Services PMI
Thu Mar 5,1:30pm,USD,Unemployment Claims
Fri Mar 6,1:30pm,USD,Average Hourly Earnings m/m
Wed Mar 11,12:30pm,USD,Core CPI m/m
Thu Mar 12,12:30pm,USD,Unemployment Claims
Fri Mar 13,7:00am,GBP,GDP m/m
Fri Mar 13,12:30pm,CAD,Employment Change
Fri Mar 13,2:00pm,USD,JOLTS Job Openings
Mon Mar 16,12:30pm,CAD,CPI m/m
Tue Mar 17,3:30am,AUD,Cash Rate
Tue Mar 17,4:30am,AUD,RBA Press Conference
Wed Mar 18,12:30pm,USD,Core PPI m/m
Wed Mar 18,1:45pm,CAD,BOC Rate Statement
Wed Mar 18,2:30pm,CAD,BOC Press Conference
Wed Mar 18,6:00pm,USD,Federal Funds Rate
Wed Mar 18,6:30pm,USD,FOMC Press Conference
Thu Mar 19,12:30am,AUD,Employment Change
Thu Mar 19,2:46am,JPY,BOJ Policy Rate
Thu Mar 19,6:30am,JPY,BOJ Press Conference
Thu Mar 19,7:00am,GBP,Claimant Count Change
Thu Mar 19,8:30am,CHF,SNB Monetary Policy Assessment
Thu Mar 19,9:00am,CHF,SNB Press Conference
Thu Mar 19,12:00pm,GBP,Monetary Policy Summary
Thu Mar 19,12:30pm,USD,Unemployment Claims
Thu Mar 19,1:15pm,EUR,Main Refinancing Rate
Thu Mar 19,1:45pm,EUR,ECB Press Conference
Tue Mar 24,8:30am,EUR,German Flash Manufacturing PMI
Tue Mar 24,9:30am,GBP,Flash Manufacturing PMI
Tue Mar 24,1:45pm,USD,Flash Manufacturing PMI
Wed Mar 25,12:30am,AUD,CPI m/m
Wed Mar 25,7:00am,GBP,CPI y/y
Thu Mar 26,12:30pm,USD,Unemployment Claims
Fri Mar 27,7:00am,GBP,Retail Sales m/m
Tue Mar 31,12:30pm,CAD,GDP m/m
Tue Mar 31,2:00pm,USD,JOLTS Job Openings
